,instance,RESPONSE
1087,flashlight/flashlight_1,is silver a flashlight
1088,banana/banana_1,this is a large banana
1089,scissors/scissors_3,a black pair of scissors
1090,pliers/pliers_4,these are pliers
1091,lemon/lemon_2,a lemon
1092,scissors/scissors_3,it is a pair of Benson scissors
1093,lemon/lemon_4,a yellow lemon
1094,potato/potato_3,the object is a medium sized red potato
1095,soda_bottle/soda_bottle_1,this is a black colored drink on your bottom
1096,band_aid/band_aid_1,there is a small box of children's Band-Aids was Toy Story characters on the front
1097,band_aid/band_aid_2,the object is a medium sized blue box of Band-Aids
1098,screwdriver/screwdriver_5,this is a tack is used for the tool
1099,bowl/bowl_1,a small green ball sits on the white turntable it's got a lip running around the edge of it and it's got a little design stamped on the outside of it it's all ingredients probably made of ceramic or glass
1100,gauze/gauze_2,that is a blue box of gauze pads
1101,medicine_bottle/medicine_bottle_2,a bottle of ibuprofen pills
1102,syringe/syringe_1,this is a syringe used for injecting embarrassing
1103,book/book_3,a book
1104,flashlight/flashlight_1,silver flashlight
1105,scissors/scissors_5,little silver scissors
1106,shampoo/shampoo_3,that looks like men's body wash or men's shampoo
1107,screwdriver/screwdriver_2,that is a flat head screwdriver
1108,toothpaste/toothpaste_4,that's children's toothpaste with Paw Patrol on the front of it
1109,toothpaste/toothpaste_1,toothpaste
1110,apple/apple_1,yellow apple
1111,syringe/syringe_1,businesses Durant used to inject medicines
1112,toothbrush/toothbrush_2,this is a pink and white color
1113,band_aid/band_aid_1,this is a white box of Band-Aids
1114,hammer/hammer_4,yellowhammer
1115,soda_bottle/soda_bottle_3,it should call Tink
1116,food_jar/food_jar_3,this is a picture of a glass bottle
1117,marker/marker_4,in giant black Sharpie
1118,measuring_tape/measuring_tape_3,the object I'm looking at is mostly black with some purple Parts on it it's circular shaved has some kind of rough ridges towards the end which makes me think it's perhaps like a tape dispenser or a tape measure or something of the sort
1119,scissors/scissors_3,this is his sister used for cutting papers
1120,measuring_tape/measuring_tape_3,Daddy's my chicken coop on the table
1121,gauze/gauze_1,it is something in a cellophane wrapper
1122,lightbulb/lightbulb_4,there is a white light bulb
1123,measuring_tape/measuring_tape_2,a silver and black metal measuring tape
1124,hammer/hammer_2,it's a hammer
1125,water_bottle/water_bottle_3,this is a water bottle the water bottle is on the table
1126,medicine_bottle/medicine_bottle_2,this is a white color
1127,scissors/scissors_6,it is a facility
1128,hammer/hammer_1,a hammer it's got a yellow handle with black rubber foregrip and then it's just got a regular Metal Head silver shiny
1129,fork/fork_5,this is a plastic fork used for
1130,bowl/bowl_1,87 scary screen
1131,flashlight/flashlight_3,it has a pocket flashlight in their square shape
1132,toothbrush/toothbrush_4,the new toothbrush with a white and purple handle
1133,medicine_bottle/medicine_bottle_3,there is a small bottle of some type of medication with a white and red label
1134,screwdriver/screwdriver_1,there is a red and black screwdriver
1135,pencil/pencil_4,a black pen it's a clicky pen so it clicks to retract or extend and it's got a rubber around where you would grip it
1136,allen_wrench/allen_wrench_1,I think this is a drill bit set or it might be an allen key set either way it is metal bits sticking through a Red Rubber thing
1137,soda_bottle/soda_bottle_3,a plastic bottle regular Coke
1138,cap/cap_1,a black and white baseball cap with a rainbow colored hose symbol on the front
1139,pencil/pencil_1,epic mechanical pencil
1140,onion/onion_2,it's adorable who had the table
1141,pencil/pencil_4,this isn't black color pens used for writing
1142,eye_glasses/eye_glasses_2,it's a pair of glasses on the table
1143,apple/apple_1,this is yellow actor
1144,cell_phone/cell_phone_3,a black phone with a screen protector it's got three buttons on the side of it and probably volume and power I don't think it's an iPhone I think it's Android
1145,fork/fork_5,a white plastic fork
1146,hammer/hammer_5,the object is a large Hammer with a pink and black grip
1147,fork/fork_2,this is a fork I see a fork
1148,medicine_bottle/medicine_bottle_4,medicine bottle escaped under table
1149,soda_bottle/soda_bottle_4,it said call Tink
1150,marker/marker_4,Lyft
1151,soda_bottle/soda_bottle_5,and bottle of Coca-Cola diet
1152,screwdriver/screwdriver_1,optic is a screwdriver with a black and red grip
1153,lightbulb/lightbulb_5,a light bulb
1154,food_jar/food_jar_3,the object is a jar of tomato sauce it looks medium to large-sized
1155,can_opener/can_opener_1,this is some sort of tool in his white green and gray
1156,pliers/pliers_2,a pair of needle-nose pliers it's got a blue handle with red accents
1157,pencil/pencil_5,yellow and neon green mechanical pencil
1158,sponge/sponge_2,this is a pink sponge
1159,apple/apple_5,this is an apple it is red and yellow in color
1160,plate/plate_2,this is of no color play
1161,potato/potato_5,a potato
1162,hand_towel/hand_towel_2,it's a folded great owl
1163,lemon/lemon_3,there is a yellow lemon with its end facing me
1164,hammer/hammer_6,there is a hammer with a wooden handle
1165,picture_frame/picture_frame_3,this is a black color for the frame used for keeping the photos
1166,screwdriver/screwdriver_5,this is a small screwdriver useful driving disclosure
1167,marker/marker_3,this is a cylinder object that is mostly white with Dean on one side
1168,stapler/stapler_2,it is a star player
1169,syringe/syringe_4,it's a syringe
1170,apple/apple_5,yellow and red apple
1171,flashlight/flashlight_1,it's a flashlight
1172,lemon/lemon_2,it is a laminate color is hello
1173,medicine_bottle/medicine_bottle_2,this is the white colored red bottle used for keeping dress
1174,mouse/mouse_3,this is a mouse is used to control the arrow on the computer screen
1175,pencil/pencil_2,a purple mechanical pencil
1176,food_jar/food_jar_1,a glass jar of Heinz Homestyle turkey gravy
1177,onion/onion_5,this is an onion used for cooking
1178,scissors/scissors_5,it is a pair of fingernail scissors
1179,bell_pepper/bell_pepper_4,an orange pepper
1180,hammer/hammer_6,a hammer with a wooden handle
1181,marker/marker_5,a black permanent marker got a black cap and a grey marker part it looks like a classic permanent marker one
1182,gauze/gauze_2,it is a box
1183,flashlight/flashlight_1,it's a flashlight
1184,food_can/food_can_1,this is a yellow jar of peeled tomatoes
1185,soda_bottle/soda_bottle_2,there is a nearly full bottle of Coca-Cola
1186,toothbrush/toothbrush_4,this isn't to Trish used for brushing the teeth
1187,food_can/food_can_5,there is a can of some sort of food
1188,water_bottle/water_bottle_5,a small plastic bottle of water
1189,hammer/hammer_2,it is a hammer
1190,eye_glasses/eye_glasses_3,it's a glass shoes
1191,pliers/pliers_4,it's a pliers
1192,water_bottle/water_bottle_1,this is water
1193,picture_frame/picture_frame_5,the backside of a black picture frame
1194,toothbrush/toothbrush_5,a brand new Colgate toothbrush with a blue and white handle
1195,bowl/bowl_5,this is a white Bowl usually it is used to put soup in
1196,book/book_3,a text book it says opencv 3 blueprints it's got a forest taking up half of the cover and then some words underneath that
1197,cell_phone/cell_phone_2,this is a cell phone you can be used to make calls
1198,water_bottle/water_bottle_5,a bottle of water
1199,spoon/spoon_5,this is a scoop you hold in your hand this is white plastic used for eating
1200,cell_phone/cell_phone_3,this is a cell phone you can text or make calls off of it
1201,water_bottle/water_bottle_2,a bottle with blue colored glasses place on the turntable
1202,bell_pepper/bell_pepper_5,that is a yellow bell pepper
1203,hand_towel/hand_towel_3,this is a kitchen towel
1204,bowl/bowl_4,a blue ball it's like a cereal bowl and it's completely smooth it's got no design or anything on it I think it's made of glass but it could be made of plastic
1205,presciption_medicine_bottle/presciption_medicine_bottle_1,pharmacies put pills into this container it has a white top and is orange with a label on it
1206,scissors/scissors_3,object as a pair of black scissors but the cutting part is slanted which makes me think it's for a specific reason I don't know if like shears or like they are cutting or medical or something but it's black and then when you get to the past the grip it slanted
1207,food_can/food_can_5,the object of the can of corn with a tan label
1208,medicine_bottle/medicine_bottle_2,a pill bottle of samsara it's an over the counter pill bottle quite large and it's got a cap that just pops off I see the label
1209,toothpaste/toothpaste_2,Colgate Total box
1210,notebook/notebook_2,it's a black hardcover notebook with elastic band
1211,toothpaste/toothpaste_3,this is toothpaste
1212,allen_wrench/allen_wrench_2,the object appears to be an allen wrench to me it looks silver and maybe even black but it's shaped where it's long and skinny and then it curves off and then it's short and skinny. So it's like L shaved
1213,allen_wrench/allen_wrench_5,it's an allen wrench kit the index holder is yellow
1214,shampoo/shampoo_3,that is either shampoo or body wash
1215,pliers/pliers_5,black handled pliers
1216,presciption_medicine_bottle/presciption_medicine_bottle_2,I'm looking at a bottle of prescription pills
1217,allen_wrench/allen_wrench_5,a set of Allen wrenches and a yellow plastic holder ranging from very large to quite small
1218,pliers/pliers_5,this is a pair of pliers and has black handles
1219,lightbulb/lightbulb_2,the object is a white light bulb
1220,potato/potato_3,is a vegetable
1221,pliers/pliers_3,is Shish mollusk
1222,bell_pepper/bell_pepper_3,this is a green pepper
1223,book/book_5,the object is a large white book with what almost looks like spray paint of kind of like an orange yellow color on it as the design is probably not spray paint
1224,book/book_2,this is a book for reading
1225,fork/fork_2,is silver fork facing up
1226,pliers/pliers_1,it's a pair of pliers B alms of pink
1227,cap/cap_2,this is a white colored hat used for sun protection
1228,plate/plate_4,this is a large green plate that is used to put food on
1229,pliers/pliers_2,it's a blue ride Flyers
1230,hand_towel/hand_towel_1,the object is a folded yellow dish towel
1231,spoon/spoon_4,there is a silver teaspoon laying flat facing upwards
1232,potato/potato_3,it's like that but not
1233,bell_pepper/bell_pepper_4,the object is an orange bell pepper
1234,allen_wrench/allen_wrench_5,that is a set of Allen wrenches
1235,shampoo/shampoo_2,a bottle of Old Spice
1236,measuring_tape/measuring_tape_4,that is a tape measure that is a keychain
1237,pencil/pencil_1,the object is a mechanical pencil with a blue clip
1238,sponge/sponge_1,the object on the white Train table seems to be a piece of wood with the top part painted brown it's about schlong by half an inch wide
1239,toothpaste/toothpaste_4,the object appears to be a tube of toothpaste it has a red and blue design and it's white overall that I can't make out the brand to know for sure that it's toothpaste and not some other kind of paste
1240,lightbulb/lightbulb_5,that is a white shower head
1241,syringe/syringe_1,sitting just kept on the table
1242,spoon/spoon_2,a metal spoon
1243,bell_pepper/bell_pepper_3,I'm looking at a green bell pepper
1244,plate/plate_2,a blue dinner plate
1245,spoon/spoon_2,it is a spoon
1246,medicine_bottle/medicine_bottle_5,there is a full bottle of Nyquil with the factory seal still on it
1247,medicine_bottle/medicine_bottle_2,this is a white bottle this is a white pill bottle
1248,plate/plate_4,it's a green plate
1249,measuring_tape/measuring_tape_3,the object I believe is a pink and black tape measurer it's kind of cubish kind of circular and has different black compartments and appears the tape that would come out of it appears black
1250,notebook/notebook_2,this isn't black colored Book used for writing
1251,cap/cap_1,the object is a white and black baseball cap with a rainbow-colored o written on it
1252,scissors/scissors_5,object appears to be a small pair of medical scissors cutting part is extremely short
1253,toothbrush/toothbrush_1,this is a yellow color
1254,potato/potato_2,it is a potato
1255,medicine_bottle/medicine_bottle_4,a bottle of Nature Made D3 vitamins
1256,food_can/food_can_1,a can of peeled Tomatoes it's got a yellow label with red lettering the brand that I can see it says Cento and then I can't see the rest of the brand
1257,apple/apple_4,a red apple
1258,picture_frame/picture_frame_2,this is a black color photo frame used for keeping photos
1259,fork/fork_3,it just seems to be a regular silver fork
1260,toothbrush/toothbrush_5,a brand new Colgate toothbrush that is blue and white
1261,food_jar/food_jar_2,jar of hot sauce
1262,apple/apple_2,this is a green apple
1263,plate/plate_5,there is a square white plate with a light design in it
1264,banana/banana_4,there is a whole unpeeled single banana
1265,apple/apple_1,yellow apple
1266,food_can/food_can_5,this isn't gone missing
1267,notebook/notebook_2,the object appears to be a hardcover black notebook like a Moleskine type think I can see string part that keeps the elastic band that closes it I'd say it's medium size it's kind of thin it could also be like a journal cover or like a Nook cover
1268,pencil/pencil_5,it is a yellow pill
1269,eye_glasses/eye_glasses_3,Coptic is a pair of glasses I can't tell if they're regular glasses or sunglasses because there appears to be a lot of blue on them that almost looks like there's blue on the water coming from Atlanta area
1270,medicine_bottle/medicine_bottle_2,it is a white bottle with a screw top lid
1271,marker/marker_3,I'm looking at a green magic marker
1272,book/book_2,hurt cover book titled artificial intelligence a modern approach
1273,soda_bottle/soda_bottle_4,this is a green plastic bottle
1274,bowl/bowl_3,it is a ball
1275,apple/apple_5,the object is a small red and yellow apple
1276,book/book_3,focus on the table
1277,pill_cutter/pill_cutter_1,it is a plastic container
1278,fork/fork_2,it's a fork
1279,picture_frame/picture_frame_2,Danny's on photo frame on the table in which you can put three photos
1280,onion/onion_4,a white onion
1281,banana/banana_2,City say banana it's a fruit
1282,potato/potato_3,this is a pink colored potato
1283,lemon/lemon_4,is this a yellow color lawmen used for making love
1284,tissue_box/tissue_box_1,I just say tissue paper can be used for citing his face and hands
1285,medicine_bottle/medicine_bottle_1,this is Sid and 30 sometimes
1286,medicine_bottle/medicine_bottle_1,a bottle of DayQuil
1287,banana/banana_2,number of bananas
1288,food_jar/food_jar_4,it's a jar of pickled the ladies blue
1289,food_can/food_can_5,this is sickening it can be some kind of food or something
1290,lime/lime_2,yellow lemon
1291,bell_pepper/bell_pepper_4,it's look like a tomato
1292,bowl/bowl_4,it's a small blue Bowl
1293,picture_frame/picture_frame_1,a white picture frame that's got no picture in it so it's just a a blank background
1294,flashlight/flashlight_1,it is a flashlight it is silver and has a strap for a handle
1295,mouse/mouse_3,I just said black colored balls can be used in laptop or system
1296,food_jar/food_jar_5,I jar of pimentos or a jar of Olives at least I think they have the payment o in them still looks completely full of pearls pearls is the brand with a black cap
1297,bell_pepper/bell_pepper_3,this is a green colored paper
1298,hammer/hammer_4,there is a black and yellow hammer
1299,notebook/notebook_1,a spiral notebook
1300,onion/onion_2,this is an onion used for
1301,coffee_mug/coffee_mug_1,a red coffee mug
1302,marker/marker_2,the object is a black Magic Marker
1303,bowl/bowl_2,a blue ball asked a lip around the edge and it's got a sort of a pattern stamped onto the outside of it just lines that looks like made of glass or ceramic
1304,pliers/pliers_1,mini pink handled pliers
1305,food_can/food_can_4,a can of Goya navy beans
1306,marker/marker_6,this is red color marker used for writing
1307,pencil/pencil_5,yellow mechanical pencil
1308,bowl/bowl_1,this is a green colored glass bottles
1309,eye_glasses/eye_glasses_4,it's a degree glasses
1310,plate/plate_2,this is a blue plate that is used to put food on
1311,lime/lime_1,there is a green lime
1312,syringe/syringe_3,is a syringe Needle on the plunger is depressed it appears that there may be something in it
1313,mouse/mouse_3,it is a mouse
1314,toothpaste/toothpaste_5,a tube of toothpaste
1315,onion/onion_2,and Yellow on
1316,toothpaste/toothpaste_4,bottle of kids toothpaste
1317,tissue_box/tissue_box_1,it is a tissue box
1318,shampoo/shampoo_5,Argan Oil shampoo
1319,banana/banana_4,yellow banana
1320,cell_phone/cell_phone_3,this is a black color smart phone used for talking with other person
1321,lightbulb/lightbulb_4,this is a LED bulb
1322,marker/marker_3,this is a green marker
1323,notebook/notebook_1,it said Daddy
1324,lightbulb/lightbulb_5,an LED light
1325,lemon/lemon_1,it is a lemon
1326,scissors/scissors_5,curved tiny scissors
1327,lemon/lemon_4,there is a fresh looking yellow lemon
1328,cell_phone/cell_phone_2,it is a small pocket cell phone
1329,marker/marker_3,and blue dry erase marker
1330,medicine_bottle/medicine_bottle_2,indecision magician bug
1331,flashlight/flashlight_2,it's a battery charge
1332,measuring_tape/measuring_tape_5,this is a tape measure it is used to measure distances
1333,measuring_tape/measuring_tape_5,is silver tape measure facing up
1334,lemon/lemon_5,it is said how many calories in Lo
1335,banana/banana_2,a bundle of bananas
1336,bell_pepper/bell_pepper_4,an orange pepper
1337,food_can/food_can_3,there is a can of chickpeas
1338,banana/banana_5,it is a ripe banana
1339,notebook/notebook_2,that looks like a journal people usually write their thoughts and feelings and those
1340,gauze/gauze_2,it is a box of pads
1341,can_opener/can_opener_3,this is a can opener it is blue in color
1342,book/book_2,it's a book
1343,lightbulb/lightbulb_1,energy efficient light bulb
1344,mouse/mouse_3,a black computer mouse with an attached cord
1345,pliers/pliers_4,those look like the pliers used to cut and strip wires
1346,scissors/scissors_1,it's a black pair of scissors
1347,coffee_mug/coffee_mug_3,Arizona white coffee mug
1348,picture_frame/picture_frame_3,backside of a black picture frame
1349,band_aid/band_aid_5,blue box of Band-Aids
1350,spoon/spoon_3,the object is a silver spoon and it appears to be larger
1351,food_jar/food_jar_5,it is April till
1352,allen_wrench/allen_wrench_4,an allen key it's fairly large I would say about 6 in long and a fairly large gauge would be used to put like furniture or something together
1353,toothpaste/toothpaste_2,this is it called cake
1354,food_jar/food_jar_3,there's a jar of Classico tomato sauce someone sure what kind it is but it's like an average medium sized jar
1355,apple/apple_5,it is a piece of fruit
1356,apple/apple_3,a bright red fruit
1357,measuring_tape/measuring_tape_3,it looks to be like in asthma inhaler pink and black
1358,stapler/stapler_4,a gray stapler
1359,apple/apple_4,HSN Apple
1360,pliers/pliers_3,date is a peeler
1361,food_jar/food_jar_2,this is a pickerel in a bottle
1362,measuring_tape/measuring_tape_3,a black and pink tape measure
1363,hand_towel/hand_towel_3,objects with a white dish cloth with a red pattern
1364,gauze/gauze_1,God is good.
1365,syringe/syringe_3,it's a syringe
1366,toothbrush/toothbrush_1,and yellow and white toothbrush
1367,toothbrush/toothbrush_3,this is a toothbrush used for nationality
1368,plate/plate_1,a paper plate with a blue floral design
1369,bowl/bowl_1,I just say green color medium size
1370,mouse/mouse_2,it said computer mouse
1371,lemon/lemon_3,yellow lemon
1372,fork/fork_4,can you see if old convertible
1373,toothbrush/toothbrush_5,toothbrush mouth cleaning brush
1374,medicine_bottle/medicine_bottle_4,backside of a bottle of pills
1375,cap/cap_2,I just said white color
1376,potato/potato_5,a potato
1377,stapler/stapler_2,a black stapler
1378,pliers/pliers_3,there's a wire cutter on the table the Wild Kratts
1379,potato/potato_1,the object appears to be a potato I think I see spuds on it it is a little Des formed
1380,hand_towel/hand_towel_3,a towel with Christmas designs
1381,band_aid/band_aid_3,a box of bandages I can see three bandages on the box and lots of writing it's blue with white writing on it and then I can see a barcode
1382,picture_frame/picture_frame_4,backside of a picture frame
1383,toothbrush/toothbrush_5,I'm looking at a white and blue toothbrush still in a red package
1384,book/book_3,this is a book for reading
1385,cap/cap_2,it is ahead it's calories White
1386,toothbrush/toothbrush_4,a purple and white toothbrush brand new in Packaging
1387,flashlight/flashlight_1,a silver flashlight
1388,bell_pepper/bell_pepper_4,there is a whole orange pepper and it has a blue and white sticker on it
1389,hand_towel/hand_towel_3,a white Christmas towel
1390,cap/cap_2,this is a white color
1391,can_opener/can_opener_2,a lime green can opener
1392,mouse/mouse_2,there is wild mouse on the table
1393,apple/apple_2,it's on April
1394,stapler/stapler_4,there is a gray and black standard office stapler
1395,plate/plate_4,it's a plate
1396,plate/plate_5,this is a white color plate used for eating food
1397,bell_pepper/bell_pepper_4,it's an orange pepper that looks like a little brain for me
1398,allen_wrench/allen_wrench_3,an allen wrench
1399,spoon/spoon_1,a wooden spoon
1400,hand_towel/hand_towel_3,this is a kitchen towel
1401,pliers/pliers_2,blue handle needle nose pliers
1402,pliers/pliers_1,there's a pair of pliers with pink handles
1403,spoon/spoon_3,is silver teaspoon
1404,pliers/pliers_5,didiskoya
1405,fork/fork_1,it is a fort
1406,coffee_mug/coffee_mug_5,is a white mug with a gold rim
1407,can_opener/can_opener_1,it's a tool
1408,food_jar/food_jar_4,it is a Fickle glass jar
1409,lightbulb/lightbulb_5,this is a white colored light used in house
1410,potato/potato_2,it is a standard size Brown Russet potato
1411,food_jar/food_jar_3,a glass jar of spaghetti sauce
1412,water_bottle/water_bottle_5,a small plastic bottle of water
1413,toothpaste/toothpaste_5,this is a bottle of Colgate Total toothpaste that use to keep your teeth clean
1414,food_can/food_can_4,it is a can with a pool top from Goya
1415,onion/onion_4,a white onion
1416,cell_phone/cell_phone_3,a black cell phone
1417,toothbrush/toothbrush_4,this is a toothbrush
1418,toothpaste/toothpaste_3,a used tuba to
1419,toothbrush/toothbrush_4,white toothbrush
1420,soda_bottle/soda_bottle_5,that is a bottle of Coke
1421,bell_pepper/bell_pepper_5,18 a capsicum
1422,band_aid/band_aid_4,this isn't bandage
1423,screwdriver/screwdriver_1,this is a screwdriver used for driving distro
1424,bell_pepper/bell_pepper_5,yellow bell pepper
1425,potato/potato_5,it's an unpeeled potato
1426,bell_pepper/bell_pepper_5,this is yellow
1427,potato/potato_2,this is a potato
1428,screwdriver/screwdriver_5,spring live in
1429,band_aid/band_aid_2,it said oh.
1430,toothpaste/toothpaste_1,a box with yellow tent used for holding the toothpaste
1431,book/book_4,it's a white book
1432,lime/lime_5,that's a line it's a green fruit
1433,scissors/scissors_6,a pair of scissors with blue handles
1434,lime/lime_1,it's a lemon
1435,apple/apple_1,this is Neil Young
1436,lightbulb/lightbulb_3,this is a like you check pulse
1437,band_aid/band_aid_3,this is a blue orange and white square box mostly blue with white type and it looks like some sort of packaging for bandages or some sort of Medicine
1438,eye_glasses/eye_glasses_1,the object is a black pair of reading glasses
1439,marker/marker_2,it is a marker for writing Rowling Exeter
1440,toothpaste/toothpaste_2,business accounting
1441,food_jar/food_jar_5,this is sad news
1442,plate/plate_2,a blue dinner plate
1443,toothbrush/toothbrush_5,I'm looking at a white and blue toothbrush that still in the package
1444,toothpaste/toothpaste_4,a tube of Oral-B kids toothpaste
1445,mouse/mouse_3,a black computer mouse with an attached black cord
1446,toothpaste/toothpaste_1,there is a yellow toothpaste box
1447,coffee_mug/coffee_mug_5,this is a white mug
1448,stapler/stapler_1,there is a pink stapler
1449,bowl/bowl_2,it is a small blue Bowl
1450,syringe/syringe_1,syringe it's a clear syringe at Scott a blue plunger I don't think it has a needle so it's either blunt tip syringe needs a needle to be screwed on
1451,presciption_medicine_bottle/presciption_medicine_bottle_2,it is a prescription pill bottle
1452,marker/marker_3,this is a green marker
1453,stapler/stapler_1,I'm looking at a pink or red stapler
1454,potato/potato_2,a potato
1455,food_jar/food_jar_4,jar of pickles
1456,food_can/food_can_1,the object is a big can of peeled tomatoes
1457,shampoo/shampoo_3,this is a bottle of suave shampoo
1458,hand_towel/hand_towel_3,I'm looking at some kind of dish towel with a red pattern
1459,marker/marker_2,a Black Expo marker
1460,bowl/bowl_1,a green Bowl
1461,marker/marker_6,this is a marker this is a Sharpie
1462,spoon/spoon_4,this is Boron used for
1463,cap/cap_2,this is a white baseball cap on the front of the shop that is yellow
1464,water_bottle/water_bottle_1,it's a navy blue Hydro Flask
1465,marker/marker_2,a black dry erase marker
1466,band_aid/band_aid_5,that is a box of Band-Aids you put those on cuts and scrapes
1467,soda_bottle/soda_bottle_3,bottle of cherry Coca-Cola
1468,coffee_mug/coffee_mug_5,coffee mug
1469,banana/banana_1,there is a banana
1470,pencil/pencil_4,that is a black pen
1471,syringe/syringe_4,plastic syringe
1472,notebook/notebook_2,black journal with a black band holding it close
1473,bowl/bowl_1,green Bowl
1474,pencil/pencil_2,a purple mechanical pencil
1475,gauze/gauze_2,a blue box with 10 cost pets
1476,hammer/hammer_1,it is a black and yellow hammer
1477,plate/plate_5,the object is a square white play and it has some red and gray or blue designs on it and the designs are just kind of like swirly circular patterns
1478,measuring_tape/measuring_tape_2,the object is a tape measure it has a silver body and it has some black and red parts and a red logo and its standing upright
1479,eye_glasses/eye_glasses_3,this is a glass used for eyes
1480,bowl/bowl_3,a red glass bowl
1481,shampoo/shampoo_5,it's all gone wild
1482,toothbrush/toothbrush_4,blue toothbrush
1483,banana/banana_3,this it's a yellow color large banana
1484,banana/banana_2,the object is a bunch of bananas
1485,notebook/notebook_1,this is a good book for writing
1486,potato/potato_5,a sweet potato
1487,onion/onion_2,this is a yellow onion used for cooking
1488,book/book_5,a book on multi-agent systems
1489,medicine_bottle/medicine_bottle_5,it's a medicine bottle
1490,medicine_bottle/medicine_bottle_1,it's a medicine bottle
1491,medicine_bottle/medicine_bottle_1,that steak will you take that if you have cold or flu-like symptoms
1492,scissors/scissors_4,there is a pair of scissors they have an orange and grey handle
1493,hand_towel/hand_towel_2,this is a hand towel it is gray and it used to dry hands
1494,onion/onion_2,it's an onion
1495,shampoo/shampoo_5,a blue bottle shampoo made with renewing Argan Oil of Morocco
1496,food_jar/food_jar_1,the object is a jar of food its hind brand and I believe it says country style or something style on it it looks Brown whatever the contents are so I'm assuming assuming it's a type of gravy
1497,lime/lime_5,this is a green colored lemon used for making love
1498,screwdriver/screwdriver_2,a flat head screwdriver with a blue handle
1499,notebook/notebook_2,this is a note
1500,potato/potato_5,BSA sweet potato
1501,pencil/pencil_2,purple Den
1502,banana/banana_2,it's banana
1503,lemon/lemon_2,boy
1504,coffee_mug/coffee_mug_5,it is a white coffee cup
1505,notebook/notebook_2,it said tired of you
1506,lightbulb/lightbulb_4,alert fungus on the table
1507,apple/apple_2,a green apple
1508,shampoo/shampoo_3,a dark blue bottle of shampoo and or body wash
1509,lemon/lemon_2,it's a lemon
1510,spoon/spoon_4,that is a silver spoon
1511,measuring_tape/measuring_tape_4,it's a measurement tape
1512,water_bottle/water_bottle_5,a small plastic water bottle
1513,toothbrush/toothbrush_5,50 Cent box with the price
1514,onion/onion_2,there is an onion with its skin still on it
1515,picture_frame/picture_frame_1,a white picture frame made to look distressed
1516,food_jar/food_jar_1,look at the jar on the table
1517,apple/apple_1,it's an apple
1518,lightbulb/lightbulb_1,is spiraled energy efficient light bulb
1519,allen_wrench/allen_wrench_5,it is a set of many different sizes of Allen wrenches
1520,hand_towel/hand_towel_3,this is folded up and is soft and white and has lots of little designs on it
1521,soda_bottle/soda_bottle_1,there is a full bottle of dr. pepper that appears to be unopened
1522,water_bottle/water_bottle_3,a bottle of smart water
1523,scissors/scissors_3,this is a pair of scissors that is used to cut things
1524,hammer/hammer_5,that is a pink and black hammer
1525,banana/banana_2,a bundle of bananas
1526,apple/apple_1,this is a yellow apple
1527,syringe/syringe_3,a clear syringe with aqua green tip
1528,onion/onion_1,onion
1529,apple/apple_5,that is a fresh ripe red and yellow apple
1530,banana/banana_2,this is the number of bananas
1531,presciption_medicine_bottle/presciption_medicine_bottle_2,a prescription pill bottle it's got a white child-proof cap you can screw it on either way right now it is screwed on so the child lock is engaged Scott black marker marking some information out and it's got a yellow highlighted on some information in the middle
1532,lightbulb/lightbulb_2,I just said life. You can use your house
1533,marker/marker_1,a red Expo dry erase marker got a red cap and it's got a white marker with red Expo lettering and a red chunk of design on it
1534,fork/fork_1,a silver fork
1535,apple/apple_2,Its a bright green apple
1536,pill_cutter/pill_cutter_1,a clear and blue plastic rectangular container
1537,fork/fork_1,a metal dinner Fork
1538,allen_wrench/allen_wrench_5,this is a set of tightening tools
1539,apple/apple_2,a green apple
1540,hammer/hammer_5,a hammer with a black and pink handle
1541,toothbrush/toothbrush_1,there is a yellow and white toothbrush
1542,band_aid/band_aid_2,a blue box Band-Aids
1543,bell_pepper/bell_pepper_4,that is an orange bell pepper
1544,band_aid/band_aid_3,this is a blue box of Band-Aids
1545,toothpaste/toothpaste_2,a box of Colgate Total toothpaste
1546,hand_towel/hand_towel_1,yellow dish towel
1547,flashlight/flashlight_1,it's a small charge
1548,measuring_tape/measuring_tape_3,a pink and black tape measure
1549,onion/onion_2,it's an onion
1550,cell_phone/cell_phone_2,an older Nokia style silver cell phone
1551,fork/fork_1,a silver fork with a sick handle
1552,measuring_tape/measuring_tape_5,object appears to be a tape measure its white yellow and black and it's kind of squarish and it has a yellow part sticking out of it appears to be what you say about it
1553,can_opener/can_opener_3,it said to
1554,onion/onion_5,an onion is Cara orange skin and it I would say it's a medium sized
1555,scissors/scissors_6,this is this design used for cutting papers
1556,screwdriver/screwdriver_2,blue handled flat head screwdriver
1557,food_jar/food_jar_2,this is a jar of pasta sauce that has a blue lid
1558,lime/lime_1,a lime
1559,scissors/scissors_6,Randall scissors
1560,scissors/scissors_5,is a pair of hemostats
1561,apple/apple_1,it's on Apple
1562,spoon/spoon_5,a plastic spoon
1563,banana/banana_2,disadvantage of bananas
1564,coffee_mug/coffee_mug_1,Edison red color
1565,pill_cutter/pill_cutter_1,dad is a pill cutter
1566,syringe/syringe_1,this is a skinny cylinder that is blue and white with pink coming out of the point
1567,food_jar/food_jar_2,this is a pickle and a bottle
1568,banana/banana_1,it is a whole unpeeled banana
1569,fork/fork_3,adjective for news to 28 Nugent
1570,food_jar/food_jar_5,a glass jar of green olives
